"state","year","shootings_total","shootings_black","shootings_white","shootings_other","pop_total","pop_black","pop_white","pop_other","rate_total","rate_black","rate_white","rate_other","control_totpop","control_blackshare","yr_2015","yr_2016","yr_2017","yr_2018","yr_2019","yr_2020","region"
"MO",2015,21,8,13,NA,6126452,772024,5156415,198013,3.42775883986359e-06,1.30581289137661e-06,2.12194594848699e-06,NA,6126452,0.126014861456517,1,0,0,0,0,0,"midwest"
"MO",2016,21,7,11,3,6126452,772024,5156415,198013,3.42775883986359e-06,1.14258627995453e-06,1.79549272564284e-06,4.89679834266228e-07,6126452,0.126014861456517,0,1,0,0,0,0,"midwest"
"MO",2017,31,13,17,1,6126452,772024,5156415,198013,5.06002495408435e-06,2.12194594848699e-06,2.77485239417529e-06,1.63226611422076e-07,6126452,0.126014861456517,0,0,1,0,0,0,"midwest"
"MO",2018,24,7,12,5,6126452,772024,5156415,198013,3.91743867412982e-06,1.14258627995453e-06,1.95871933706491e-06,8.1613305711038e-07,6126452,0.126014861456517,0,0,0,1,0,0,"midwest"
"MO",2019,28,11,12,5,6126452,772024,5156415,198013,4.57034511981813e-06,1.79549272564284e-06,1.95871933706491e-06,8.1613305711038e-07,6126452,0.126014861456517,0,0,0,0,1,0,"midwest"
"MO",2020,21,3,8,10,6126452,772024,5156415,198013,3.42775883986359e-06,4.89679834266228e-07,1.30581289137661e-06,1.63226611422076e-06,6126452,0.126014861456517,0,0,0,0,0,1,"midwest"
"MS",2015,8,1,7,NA,2986530,1145398,1785077,56055,2.67869400273896e-06,3.34836750342371e-07,2.34385725239659e-06,NA,2986530,0.383521344168651,1,0,0,0,0,0,"south"
"MS",2016,8,4,4,NA,2986530,1145398,1785077,56055,2.67869400273896e-06,1.33934700136948e-06,1.33934700136948e-06,NA,2986530,0.383521344168651,0,1,0,0,0,0,"south"
"MS",2017,17,7,9,1,2986530,1145398,1785077,56055,5.6922247558203e-06,2.34385725239659e-06,3.01353075308134e-06,3.34836750342371e-07,2986530,0.383521344168651,0,0,1,0,0,0,"south"
"MS",2018,10,5,4,1,2986530,1145398,1785077,56055,3.34836750342371e-06,1.67418375171185e-06,1.33934700136948e-06,3.34836750342371e-07,2986530,0.383521344168651,0,0,0,1,0,0,"south"
"MS",2019,18,5,10,3,2986530,1145398,1785077,56055,6.02706150616267e-06,1.67418375171185e-06,3.34836750342371e-06,1.00451025102711e-06,2986530,0.383521344168651,0,0,0,0,1,0,"south"
"MS",2020,6,1,3,2,2986530,1145398,1785077,56055,2.00902050205422e-06,3.34836750342371e-07,1.00451025102711e-06,6.69673500684741e-07,2986530,0.383521344168651,0,0,0,0,0,1,"south"
"MT",2015,4,NA,4,NA,1062305,10321,962460,89524,3.76539694343903e-06,NA,3.76539694343903e-06,NA,1062305,0.00971566546330856,1,0,0,0,0,0,"west"
"MT",2016,5,NA,5,NA,1062305,10321,962460,89524,4.70674617929879e-06,NA,4.70674617929879e-06,NA,1062305,0.00971566546330856,0,1,0,0,0,0,"west"
"MT",2017,6,NA,3,3,1062305,10321,962460,89524,5.64809541515855e-06,NA,2.82404770757927e-06,2.82404770757927e-06,1062305,0.00971566546330856,0,0,1,0,0,0,"west"
"MT",2018,6,NA,5,1,1062305,10321,962460,89524,5.64809541515855e-06,NA,4.70674617929879e-06,9.41349235859758e-07,1062305,0.00971566546330856,0,0,0,1,0,0,"west"
"MT",2019,6,NA,6,NA,1062305,10321,962460,89524,5.64809541515855e-06,NA,5.64809541515855e-06,NA,1062305,0.00971566546330856,0,0,0,0,1,0,"west"
"MT",2020,7,NA,3,4,1062305,10321,962460,89524,6.5894446510183e-06,NA,2.82404770757927e-06,3.76539694343903e-06,1062305,0.00971566546330856,0,0,0,0,0,1,"west"
"NC",2015,22,7,15,NA,10383620,2394548,7451579,537493,2.11872160190762e-06,6.74138691516061e-07,1.44458291039156e-06,NA,10383620,0.230608207927486,1,0,0,0,0,0,"south"
"NC",2016,33,13,17,3,10383620,2394548,7451579,537493,3.17808240286143e-06,1.25197185567268e-06,1.63719396511043e-06,2.88916582078312e-07,10383620,0.230608207927486,0,1,0,0,0,0,"south"
"NC",2017,22,9,11,2,10383620,2394548,7451579,537493,2.11872160190762e-06,8.66749746234935e-07,1.05936080095381e-06,1.92611054718875e-07,10383620,0.230608207927486,0,0,1,0,0,0,"south"
"NC",2018,25,7,15,3,10383620,2394548,7451579,537493,2.40763818398593e-06,6.74138691516061e-07,1.44458291039156e-06,2.88916582078312e-07,10383620,0.230608207927486,0,0,0,1,0,0,"south"
